Fiscal Year,State,County,Local Education Agency (LEA) Entity ID,Local Education Agency (LEA) CTDS Number,Local Education Agency (LEA) Name,School Entity ID,School CTDS Number,School Name,Charter School,Math Mean Scale Score,Math Percent Falls Far Below,Math Percent Approaches,Math Percent Meets,Math Percent Exceeds,Math Percent Passing,Reading Mean Scale Score,Reading Percent Falls Far Below,Reading Percent Approaches,Reading Percent Meets,Reading Percent Exceeds,Reading Percent Passing,Writing Mean Scale Score,Writing Percent Falls Far Below,Writing Percent Approaches,Writing Percent Meets,Writing Percent Exceeds,Writing Percent Passing,Science Mean Scale Score,Science Percent Falls Far Below,Science Percent Approaches,Science Percent Meets,Science Percent Exceeds,Science Percent Passing
2011,ARIZONA,Apache,4153,10201000,St Johns Unified District,4517,10201102,Coronado Elementary School,N,367,9,25,48,18,66,468,*,*,74,9,83,*,*,*,*,*,*,*,*,*,*,*,*
2011,ARIZONA,Apache,4153,10201000,St Johns Unified District,4710,10201104,St Johns Middle School,N,416,11,22,42,25,67,520,3,13,70,14,85,496,6,40,52,2,54,526,7,23,27,42,69
2011,ARIZONA,Apache,4153,10201000,St Johns Unified District,4711,10201205,St Johns High School,N,*,*,*,*,*,*,703,8,28,54,10,64,491,11,34,51,4,55,*,*,*,*,*,*
2011,ARIZONA,Apache,4154,10208000,Window Rock Unified District,4712,10208105,Window Rock Elementary School,N,348,31,37,28,4,32,454,8,37,54,1,55,481,15,38,*,*,47,469,49,29,16,6,22
2011,ARIZONA,Apache,4154,10208000,Window Rock Unified District,4716,10208115,Tsehootsooi Middle School,N,387,54,23,17,5,22,491,13,36,49,2,51,468,28,45,25,1,26,477,45,32,16,6,23
2011,ARIZONA,Apache,4154,10208000,Window Rock Unified District,4717,10208201,Window Rock High School,N,468,54,20,24,2,26,669,13,42,42,2,44,460,22,49,28,1,29,461,62,21,13,3,17
2011,ARIZONA,Apache,4155,10210000,Round Valley Unified District,4719,10210102,Round Valley Intermediate School,N,373,15,27,43,15,58,475,7,20,66,7,73,487,6,45,47,1,48,520,10,29,32,28,61
2011,ARIZONA,Apache,4155,10210000,Round Valley Unified District,4720,10210103,Round Valley Middle School,N,417,26,22,35,18,53,524,6,17,68,10,78,492,13,37,47,3,50,525,13,12,28,46,75
2011,ARIZONA,Apache,4155,10210000,Round Valley Unified District,4721,10210210,Round Valley High School,N,481,43,12,36,9,45,699,9,21,62,8,70,488,14,26,58,2,61,475,46,23,22,9,31
2011,ARIZONA,Apache,4156,10218000,Sanders Unified District,4722,10218001,Sanders Elementary School,N,342,38,34,25,3,28,444,13,44,43,1,43,462,20,52,*,*,28,472,48,33,15,4,19
2011,ARIZONA,Apache,4156,10218000,Sanders Unified District,4723,10218002,Sanders Middle School,N,397,44,20,30,6,36,489,16,31,52,1,53,460,30,51,*,*,19,494,26,26,33,15,48
2011,ARIZONA,Apache,4156,10218000,Sanders Unified District,4724,10218003,Valley High School,N,471,54,12,28,5,34,683,4,43,51,2,53,465,18,48,*,*,35,466,61,16,17,6,23
2011,ARIZONA,Apache,4157,10220000,Ganado Unified School District,4725,10220101,Ganado Primary School,N,363,6,25,60,9,69,448,1,26,68,5,73,*,*,*,*,*,*,*,*,*,*,*,*
2011,ARIZONA,Apache,4157,10220000,Ganado Unified School District,4726,10220102,Ganado Intermediate School,N,377,27,32,32,9,41,485,6,25,67,2,69,490,8,42,47,2,49,498,27,27,29,17,46
2011,ARIZONA,Apache,4157,10220000,Ganado Unified School District,4727,10220103,Ganado Middle School,N,409,39,25,26,10,36,503,9,30,59,2,61,471,17,57,*,*,26,503,28,18,27,28,54
2011,ARIZONA,Apache,4157,10220000,Ganado Unified School District,4728,10220204,Ganado High School,N,469,56,19,22,3,25,674,7,47,45,1,46,462,19,50,*,*,31,456,69,13,14,4,18
2011,ARIZONA,Apache,4158,10224000,Chinle Unified District,4731,10224145,Chinle Junior High School,N,394,56,21,19,4,23,497,13,36,50,1,51,475,26,42,30,2,32,482,41,26,22,11,33
2011,ARIZONA,Apache,4158,10224000,Chinle Unified District,4732,10224150,Chinle Elementary School,N,360,31,36,28,4,33,462,11,38,49,2,51,475,11,58,*,*,32,482,33,36,22,9,31
2011,ARIZONA,Apache,4158,10224000,Chinle Unified District,4733,10224155,Canyon De Chelly Elementary School,N,347,43,33,21,3,24,454,13,41,45,1,47,463,22,56,*,*,22,476,43,27,27,3,30
