Fiscal Year,State,County,Local Education Agency (LEA) Entity ID,Local Education Agency (LEA) CTDS Number,Local Education Agency (LEA) Name,School Entity ID,School CTDS Number,School Name,Charter School,Math Mean Scale Score,Math Percent Falls Far Below,Math Percent Approaches,Math Percent Meets,Math Percent Exceeds,Math Percent Passing,Reading Mean Scale Score,Reading Percent  Falls Far Below,Reading Percent  Approaches,Reading Percent  Meets,Reading Percent  Exceeds,Reading Percent  Passing,Writing Mean Scale Score,Writing Percent  Falls Far Below,Writing Percent  Approaches,Writing Percent  Meets,Writing Percent  Exceeds,Writing Percent  Passing,Science Mean Scale Score,Science Percent  Falls Far Below,Science Percent  Approaches,Science Percent  Meets,Science Percent  Exceeds,Science Percent  Passing
2014,ARIZONA,Apache,4153,10201000,St Johns Unified District,4517,10201102,Coronado Elementary School,N,389,7,13,43,37,80,474,5,13,62,20,82,,,,,,,,,,,,
2014,ARIZONA,Apache,4153,10201000,St Johns Unified District,4710,10201104,St Johns Middle School,N,414,14,16,44,27,70,512,2,15,75,7,83,500,8,38,51,3,55,522,6,20,30,44,74
2014,ARIZONA,Apache,4153,10201000,St Johns Unified District,4711,10201205,St Johns High School,N,472,22,16,42,20,62,677,*,*,67,13,81,508,1,21,76,1,78,480,31,12,27,31,57
2014,ARIZONA,Apache,4154,10208000,Window Rock Unified District,4714,10208110,Tsehootsooi Intermediate Learning Center,N,358,36,33,27,5,31,461,5,42,52,2,53,471,22,49,*,*,28,474,25,49,23,4,26
2014,ARIZONA,Apache,4154,10208000,Window Rock Unified District,4715,10208112,Tsehootsooi Primary Learning Center,N,328,31,32,31,5,36,434,6,36,57,2,59,,,,,,,*,*,*,*,*,*
2014,ARIZONA,Apache,4154,10208000,Window Rock Unified District,4716,10208115,Tsehootsooi Middle School,N,397,54,21,22,3,26,495,12,34,53,1,54,463,30,49,*,*,21,473,48,33,13,6,19
2014,ARIZONA,Apache,4154,10208000,Window Rock Unified District,4717,10208201,Window Rock High School,N,467,52,24,22,3,25,680,3,29,66,3,69,485,10,39,50,1,51,453,72,15,8,4,12
2014,ARIZONA,Apache,4155,10210000,Round Valley Unified District,4719,10210102,Round Valley Elementary School,N,373,7,24,50,19,69,470,*,*,73,6,79,,,,,,,512,5,34,44,17,61
2014,ARIZONA,Apache,4155,10210000,Round Valley Unified District,4720,10210103,Round Valley Middle School,N,415,16,18,49,17,66,514,3,16,74,6,81,489,12,42,45,1,46,512,11,25,22,42,64
2014,ARIZONA,Apache,4155,10210000,Round Valley Unified District,4721,10210210,Round Valley High School,N,493,34,12,33,21,54,703,2,23,66,9,75,500,7,25,67,2,69,479,40,24,24,13,37
2014,ARIZONA,Apache,4156,10218000,Sanders Unified District,4722,10218001,Sanders Elementary School,N,341,36,36,23,5,28,445,6,47,46,1,47,455,23,64,*,*,13,470,37,54,*,*,9
2014,ARIZONA,Apache,4156,10218000,Sanders Unified District,4723,10218002,Sanders Middle School,N,396,44,24,29,3,32,485,14,40,*,*,46,458,39,44,*,*,17,466,60,21,14,5,19
2014,ARIZONA,Apache,4156,10218000,Sanders Unified District,4724,10218003,Valley High School,N,471,51,27,*,*,23,681,3,28,*,*,69,471,11,41,*,*,48,458,64,25,*,*,10
2014,ARIZONA,Apache,4157,10220000,Ganado Unified School District,4725,10220101,Ganado Elementary School,N,351,23,40,32,5,38,453,3,35,60,2,62,480,7,57,35,1,36,486,15,35,43,8,51
2014,ARIZONA,Apache,4157,10220000,Ganado Unified School District,4727,10220103,Ganado Middle School,N,396,45,26,23,7,29,492,10,36,53,1,54,477,23,46,*,*,31,478,43,38,13,6,19
2014,ARIZONA,Apache,4157,10220000,Ganado Unified School District,4728,10220204,Ganado High School,N,467,41,27,30,1,32,668,1,35,63,1,64,471,13,47,*,*,40,448,73,18,*,*,8
2014,ARIZONA,Apache,4158,10224000,Chinle Unified District,4731,10224145,Chinle Junior High School,N,396,50,23,23,4,27,492,10,40,*,*,50,469,23,56,21,1,21,472,40,36,18,6,25
2014,ARIZONA,Apache,4158,10224000,Chinle Unified District,4732,10224150,Chinle Elementary School,N,352,33,39,25,2,27,460,3,39,57,1,58,471,20,57,23,1,24,471,31,47,19,3,22
2014,ARIZONA,Apache,4158,10224000,Chinle Unified District,4733,10224155,Canyon De Chelly Elementary School,N,350,36,39,19,6,25,455,4,49,46,2,48,469,18,55,25,1,26,474,37,43,18,2,20
2014,ARIZONA,Apache,4158,10224000,Chinle Unified District,4734,10224160,Many Farms Elementary School,N,360,41,33,23,3,26,464,4,46,*,*,49,473,13,64,*,*,23,477,28,47,20,4,25
2014,ARIZONA,Apache,4158,10224000,Chinle Unified District,4735,10224165,Tsaile Elementary School,N,374,25,38,32,6,38,473,2,39,*,*,59,472,17,58,*,*,26,496,19,36,36,9,45
2014,ARIZONA,Apache,4158,10224000,Chinle Unified District,4736,10224170,Mesa View Elementary,N,346,34,32,30,3,33,448,3,42,54,1,55,470,17,62,20,1,21,471,32,41,26,1,27
2014,ARIZONA,Apache,4158,10224000,Chinle Unified District,4737,10224240,Chinle High School,N,466,49,25,24,2,26,674,2,33,64,2,65,470,13,51,*,*,36,455,59,18,19,4,23
2014,ARIZONA,Apache,4159,10227000,Red Mesa Unified District,4738,10227101,Red Mesa Elementary School,N,327,27,40,28,5,33,422,6,41,*,*,53,466,7,70,*,*,22,435,15,59,21,5,26
2014,ARIZONA,Apache,4159,10227000,Red Mesa Unified District,4739,10227102,Round Rock Elementary School,N,383,26,31,38,6,44,476,5,38,*,*,57,456,29,62,*,*,10,474,39,42,*,*,18
2014,ARIZONA,Apache,4159,10227000,Red Mesa Unified District,4740,10227103,Red Mesa Junior High School,N,403,37,31,25,7,32,496,6,32,*,*,62,473,16,49,32,3,35,485,40,33,19,7,26
